Codibge7;acidente;homicidio;suicidio;indeterminado;veiculos;h_legal
3507209;0;0;0;0;0;0
3166600;0;0;0;0;0;0
5201207;0;0;0;0;0;0
1715507;0;0;0;0;0;0
5101209;0;0;0;0;0;0
3532868;0;0;0;0;1;0
3115607;0;0;0;0;1;0
4300661;0;0;1;0;0;0
3555901;1;0;0;0;0;0
2206308;0;0;0;0;0;0
5212253;0;0;0;0;0;0
2510659;0;0;0;0;0;0
1704600;0;0;0;0;0;0
5107883;0;1;0;0;0;0
3127909;0;0;0;0;0;0
4112603;0;0;0;0;0;0
5204201;0;0;0;0;0;0
4116505;0;0;0;0;0;0
1720150;0;0;0;0;0;0
3123403;1;0;0;0;0;0
3547650;0;0;0;0;2;0
4215695;0;0;1;0;0;0
4322350;0;0;0;0;0;0
4209458;0;0;1;0;1;0
4306924;0;0;0;0;0;0
4305835;2;0;0;0;0;0
4312351;0;0;0;0;1;0
3554755;0;0;0;0;0;0
3146602;0;0;0;0;0;0
3515657;0;0;0;0;0;0
1706258;0;0;0;0;2;0
4323606;0;0;1;0;0;0
4322186;0;1;0;0;1;0
1721257;1;0;0;1;0;0
4205357;0;1;0;0;0;0
4309258;0;0;0;0;0;0
4311270;0;0;1;0;0;0
3555703;1;0;0;0;0;0
1712157;0;0;0;0;0;0
4304853;0;0;0;0;0;0
3164803;0;0;0;0;0;0
2414902;0;0;0;0;0;0
4311643;0;0;1;0;0;0
1709807;0;0;0;0;0;0
3547205;0;0;0;0;1;0
4316733;0;0;0;0;0;0
3103108;0;0;0;0;0;0
4308854;0;0;1;0;0;0
2514651;0;0;0;0;0;0
3513850;0;0;0;0;1;0
5220058;0;0;0;0;0;0
2512606;0;0;0;0;0;0
1718659;0;0;0;1;0;0
4317251;0;1;1;0;0;0
4312674;0;0;0;0;0;0
2512788;0;0;0;0;1;0
4213906;0;0;0;0;0;0
4305934;0;0;1;0;0;0
3118502;0;0;0;0;1;0
3556958;0;0;0;0;0;0
1720853;0;0;0;0;0;0
4314787;0;0;0;0;0;0
3515806;1;0;0;0;0;0
4304622;0;0;0;0;1;0
4217956;0;0;1;0;0;0
4313466;0;0;0;0;0;0
4211876;0;0;0;0;0;0
5213400;1;0;0;0;0;0
3147501;0;0;0;0;0;0
4208955;0;0;0;0;0;0
5106703;0;0;0;0;0;0
2504850;0;0;0;0;0;0
4315313;0;0;2;0;0;0
3160504;0;0;0;0;0;0
3536570;0;0;0;0;0;0
3549250;0;0;0;0;0;0
3149408;0;0;0;0;0;0
3166402;0;0;0;0;0;0
4312179;0;0;0;0;1;0
4304614;0;0;0;0;0;0
3503950;0;0;0;0;0;0
4312625;0;0;0;0;0;0
4123600;0;0;0;0;2;0
4210050;0;0;0;0;0;0
3123502;0;0;0;0;0;0
4300554;0;0;0;0;0;0
