"Microrregiao" "SEXO" "IDADE.CAT" "tot.pop"
11001 0 0 153264
11001 0 1 110853
11001 1 0 159442
11001 1 1 116761
11002 0 0 20878
11002 0 1 13927
11002 1 0 21756
11002 1 1 14808
11003 0 0 47872
11003 0 1 35058
11003 1 0 49166
11003 1 1 39054
11004 0 0 80225
11004 0 1 66719
11004 1 0 81230
11004 1 1 67292
11005 0 0 19154
11005 0 1 14593
11005 1 0 19968
11005 1 1 16469
11006 0 0 61420
11006 0 1 51432
11006 1 0 62220
11006 1 1 53140
11007 0 0 36550
11007 0 1 29352
11007 1 0 37139
11007 1 1 29636
11008 0 0 13598
11008 0 1 12357
11008 1 0 13984
11008 1 1 13092
12001 0 0 44389
12001 0 1 20324
12001 1 0 45666
12001 1 1 21126
12002 0 0 25701
12002 0 1 10397
12002 1 0 27014
12002 1 1 11467
12003 0 0 16238
12003 0 1 8063
12003 1 0 17540
12003 1 1 8860
12004 0 0 125036
12004 0 1 86497
12004 1 0 124568
12004 1 1 82012
12005 0 0 17675
12005 0 1 10915
12005 1 0 18139
12005 1 1 11932
13001 0 0 31644
13001 0 1 14631
13001 1 0 33104
13001 1 1 17104
13002 0 0 8642
13002 0 1 2970
13002 1 0 9516
13002 1 1 3726
13003 0 0 77554
13003 0 1 31276
13003 1 0 79910
13003 1 1 35354
13004 0 0 44253
13004 0 1 17758
13004 1 0 46422
13004 1 1 19412
13005 0 0 29630
13005 0 1 12536
13005 1 0 31192
13005 1 1 14074
13006 0 0 50784
13006 0 1 21881
13006 1 0 53977
13006 1 1 25521
13007 0 0 604206
13007 0 1 432720
13007 1 0 599298
13007 1 1 403312
13008 0 0 16271
13008 0 1 8867
13008 1 0 16887
13008 1 1 10869
13009 0 0 48337
13009 0 1 25190
13009 1 0 50327
13009 1 1 28173
13010 0 0 79213
13010 0 1 37593
13010 1 0 83548
13010 1 1 42326
13011 0 0 15799
13011 0 1 7562
13011 1 0 16988
13011 1 1 8449
13012 0 0 22519
13012 0 1 10412
13012 1 0 24218
13012 1 1 12367
13013 0 0 53142
13013 0 1 25416
13013 1 0 56462
13013 1 1 30643
14001 0 0 99305
14001 0 1 61339
14001 1 0 99114
14001 1 1 60763
14002 0 0 13789
14002 0 1 5937
14002 1 0 15117
14002 1 1 7317
14003 0 0 12684
14003 0 1 7005
14003 1 0 13554
14003 1 1 8643
14004 0 0 14039
14004 0 1 7522
14004 1 0 15072
14004 1 1 9279
15001 0 0 58709
15001 0 1 30717
15001 1 0 61083
15001 1 1 33830
15002 0 0 149220
15002 0 1 91211
15002 1 0 151800
15002 1 1 92292
15003 0 0 22753
15003 0 1 9737
15003 1 0 23455
15003 1 1 11625
15004 0 0 45560
15004 0 1 16766
15004 1 0 48404
15004 1 1 19176
15005 0 0 69140
15005 0 1 28884
15005 1 0 73829
15005 1 1 32261
15006 0 0 46915
15006 0 1 27159
15006 1 0 50109
15006 1 1 28807
15007 0 0 584714
15007 0 1 533119
15007 1 0 569879
15007 1 1 454564
15008 0 0 87189
15008 0 1 60262
15008 1 0 89337
15008 1 1 58233
15009 0 0 72046
15009 0 1 47592
15009 1 0 76887
15009 1 1 50621
15010 0 0 114539
15010 0 1 73533
15010 1 0 119101
15010 1 1 75592
15011 0 0 138104
15011 0 1 74553
15011 1 0 146057
15011 1 1 78588
15012 0 0 93014
15012 0 1 44919
15012 1 0 98079
15012 1 1 51606
15013 0 0 137661
15013 0 1 72366
15013 1 0 144739
15013 1 1 79790
15014 0 0 63983
15014 0 1 36007
15014 1 0 65886
15014 1 1 43655
15015 0 0 82847
15015 0 1 47512
15015 1 0 87138
15015 1 1 56383
15016 0 0 104217
15016 0 1 55918
15016 1 0 106206
15016 1 1 62555
15017 0 0 91470
15017 0 1 50779
15017 1 0 93081
15017 1 1 56627
15018 0 0 50000
15018 0 1 27908
15018 1 0 51167
15018 1 1 37211
15019 0 0 80902
15019 0 1 43277
15019 1 0 81652
15019 1 1 49924
15020 0 0 88036
15020 0 1 51753
15020 1 0 90033
15020 1 1 54924
15021 0 0 53734
15021 0 1 35950
15021 1 0 54712
15021 1 1 38794
15022 0 0 39214
15022 0 1 25325
15022 1 0 41446
15022 1 1 30699
16001 0 0 9351
16001 0 1 4633
16001 1 0 9994
16001 1 1 5531
16002 0 0 7939
16002 0 1 3599
16002 1 0 8584
16002 1 1 4303
16003 0 0 172851
16003 0 1 102451
16003 1 0 172142
16003 1 1 98746
16004 0 0 22932
16004 0 1 10635
16004 1 0 23691
16004 1 1 12144
17001 0 0 57990
17001 0 1 38422
17001 1 0 60706
17001 1 1 39249
17002 0 0 79878
17002 0 1 58929
17002 1 0 80784
17002 1 1 59116
17003 0 0 37544
17003 0 1 31310
17003 1 0 39410
17003 1 1 34029
17004 0 0 30514
17004 0 1 25927
17004 1 0 31974
17004 1 1 27587
17005 0 0 36373
17005 0 1 31561
17005 1 0 37087
17005 1 1 32196
17006 0 0 96544
17006 0 1 65209
17006 1 0 95418
17006 1 1 65653
17007 0 0 20502
17007 0 1 13338
17007 1 0 22579
17007 1 1 15506
17008 0 0 32434
17008 0 1 24546
17008 1 0 34593
17008 1 1 26537
21001 0 0 52501
21001 0 1 36675
21001 1 0 56348
21001 1 1 38225
21002 0 0 376810
21002 0 1 314811
21002 1 0 358010
21002 1 1 259699
21003 0 0 49867
21003 0 1 29355
21003 1 0 52473
21003 1 1 29494
21004 0 0 57085
21004 0 1 28393
21004 1 0 60049
21004 1 1 30673
21005 0 0 170810
21005 0 1 109693
21005 1 0 176953
21005 1 1 106735
21006 0 0 66498
21006 0 1 38845
21006 1 0 67075
21006 1 1 38335
21007 0 0 70760
21007 0 1 36827
21007 1 0 74322
21007 1 1 39734
21008 0 0 193139
21008 0 1 115741
21008 1 0 197689
21008 1 1 114862
21009 0 0 168477
21009 0 1 117050
21009 1 0 169554
21009 1 1 111785
21010 0 0 121096
21010 0 1 88333
21010 1 0 121325
21010 1 1 81222
21011 0 0 96029
21011 0 1 56229
21011 1 0 100725
21011 1 1 59056
21012 0 0 55688
21012 0 1 40441
21012 1 0 56644
21012 1 1 38251
21013 0 0 42192
21013 0 1 25685
21013 1 0 44154
21013 1 1 26970
21014 0 0 69737
21014 0 1 39642
21014 1 0 71090
21014 1 1 39356
21015 0 0 79037
21015 0 1 54876
21015 1 0 80421
21015 1 1 49924
21016 0 0 27093
21016 0 1 16411
21016 1 0 27920
21016 1 1 15832
21017 0 0 121632
21017 0 1 90804
21017 1 0 123292
21017 1 1 80599
21018 0 0 60872
21018 0 1 43614
21018 1 0 62719
21018 1 1 42133
21019 0 0 31696
21019 0 1 21135
21019 1 0 34059
21019 1 1 23042
21020 0 0 40431
21020 0 1 24323
21020 1 0 40963
21020 1 1 24708
21021 0 0 19677
21021 0 1 13264
21021 1 0 21353
21021 1 1 13742
22001 0 0 92950
22001 0 1 71058
22001 1 0 97298
22001 1 1 68066
22002 0 0 83925
22002 0 1 69635
22002 1 0 85180
22002 1 1 64771
22003 0 0 273424
22003 0 1 252677
22003 1 0 266447
22003 1 1 206708
22004 0 0 57724
22004 0 1 52962
22004 1 0 60086
22004 1 1 49625
22005 0 0 35312
22005 0 1 31346
22005 1 0 35687
22005 1 1 28444
22006 0 0 26318
22006 0 1 26692
22006 1 0 26496
22006 1 1 24518
22007 0 0 13130
22007 0 1 8371
22007 1 0 13520
22007 1 1 8585
22008 0 0 10720
22008 0 1 9348
22008 1 0 11340
22008 1 1 9276
22009 0 0 32281
22009 0 1 29661
22009 1 0 32841
22009 1 1 26761
22010 0 0 25865
22010 0 1 17437
22010 1 0 27101
22010 1 1 17673
22011 0 0 36575
22011 0 1 30366
22011 1 0 37761
22011 1 1 30420
22012 0 0 23535
22012 0 1 16653
22012 1 0 24956
22012 1 1 17440
22013 0 0 52339
22013 0 1 50121
22013 1 0 52234
22013 1 1 44933
22014 0 0 14836
22014 0 1 14032
22014 1 0 15500
22014 1 1 13462
22015 0 0 70648
22015 0 1 59997
22015 1 0 72695
22015 1 1 58598
23001 0 0 104600
23001 0 1 74389
23001 1 0 108680
23001 1 1 73223
23002 0 0 84777
23002 0 1 63738
23002 1 0 85999
23002 1 1 60696
23003 0 0 15883
23003 0 1 12125
23003 1 0 16219
23003 1 1 11671
23004 0 0 6732
23004 0 1 5544
23004 1 0 7071
23004 1 1 5117
23005 0 0 107572
23005 0 1 85797
23005 1 0 109881
23005 1 1 77594
23006 0 0 36640
23006 0 1 32795
23006 1 0 37717
23006 1 1 30271
23007 0 0 18974
23007 0 1 16966
23007 1 0 19685
23007 1 1 16415
23008 0 0 59968
23008 0 1 41715
23008 1 0 63041
23008 1 1 41995
23009 0 0 29032
23009 0 1 23044
23009 1 0 30374
23009 1 1 23117
23010 0 0 28966
23010 0 1 21330
23010 1 0 30046
23010 1 1 20983
23011 0 0 23209
23011 0 1 18608
23011 1 0 24206
23011 1 1 18679
23012 0 0 35054
23012 0 1 27202
23012 1 0 36012
23012 1 1 26427
23013 0 0 51195
23013 0 1 42156
23013 1 0 52998
23013 1 1 40594
23014 0 0 16818
23014 0 1 14024
23014 1 0 17772
23014 1 1 13881
23015 0 0 35044
23015 0 1 32008
23015 1 0 36279
23015 1 1 30805
23016 0 0 899422
23016 0 1 859370
23016 1 0 885177
23016 1 1 707143
23017 0 0 34261
23017 0 1 24862
23017 1 0 34502
23017 1 1 23400
23018 0 0 61532
23018 0 1 60743
23018 1 0 62681
23018 1 1 55758
23019 0 0 72529
23019 0 1 60727
23019 1 0 75339
23019 1 1 57572
23020 0 0 38666
23020 0 1 35059
23020 1 0 38555
23020 1 1 33095
23021 0 0 54903
23021 0 1 54312
23021 1 0 56765
23021 1 1 51542
23022 0 0 28549
23022 0 1 26476
23022 1 0 29764
23022 1 1 24895
23023 0 0 80447
23023 0 1 77502
23023 1 0 83087
23023 1 1 72438
23024 0 0 15884
23024 0 1 15610
23024 1 0 16552
23024 1 1 14625
23025 0 0 11033
23025 0 1 10300
23025 1 0 11435
23025 1 1 9677
23026 0 0 57159
23026 0 1 57324
23026 1 0 56939
23026 1 1 51445
23027 0 0 24792
23027 0 1 24354
23027 1 0 25168
23027 1 1 22388
23028 0 0 14159
23028 0 1 14120
23028 1 0 15033
23028 1 1 13358
23029 0 0 26671
23029 0 1 21859
23029 1 0 27129
23029 1 1 19706
23030 0 0 15522
23030 0 1 13642
23030 1 0 15667
23030 1 1 12054
23031 0 0 23991
23031 0 1 21387
23031 1 0 24797
23031 1 1 20145
23032 0 0 148861
23032 0 1 129397
23032 1 0 148643
23032 1 1 107238
23033 0 0 27112
23033 0 1 23851
23033 1 0 27650
23033 1 1 21278
24001 0 0 87360
24001 0 1 82955
24001 1 0 88727
24001 1 1 73637
24002 0 0 17866
24002 0 1 18450
24002 1 0 18700
24002 1 1 17431
24003 0 0 10037
24003 0 1 9113
24003 1 0 10799
24003 1 1 9092
24004 0 0 36853
24004 0 1 33512
24004 1 0 38100
24004 1 1 32069
24005 0 0 16857
24005 0 1 15223
24005 1 0 17063
24005 1 1 13612
24006 0 0 28380
24006 0 1 29425
24006 1 0 29512
24006 1 1 26950
24007 0 0 15717
24007 0 1 16896
24007 1 0 16655
24007 1 1 15716
24008 0 0 13770
24008 0 1 12575
24008 1 0 14378
24008 1 1 11785
24009 0 0 13330
24009 0 1 12219
24009 1 0 14013
24009 1 1 11742
24010 0 0 15899
24010 0 1 14933
24010 1 0 16618
24010 1 1 14076
24011 0 0 23404
24011 0 1 26435
24011 1 0 24288
24011 1 1 23553
24012 0 0 28864
24012 0 1 32055
24012 1 0 29295
24012 1 1 28614
24013 0 0 18057
24013 0 1 13201
24013 1 0 18841
24013 1 1 12836
24014 0 0 35932
24014 0 1 31215
24014 1 0 37665
24014 1 1 29215
24015 0 0 62657
24015 0 1 51772
24015 1 0 65409
24015 1 1 49957
24016 0 0 24002
24016 0 1 16851
24016 1 0 26091
24016 1 1 17096
24017 0 0 80479
24017 0 1 64865
24017 1 0 82892
24017 1 1 60600
24018 0 0 266112
24018 0 1 277515
24018 1 0 261562
24018 1 1 225575
24019 0 0 36735
24019 0 1 27619
24019 1 0 38048
24019 1 1 26675
25001 0 0 29570
25001 0 1 29112
25001 1 0 30980
25001 1 1 26394
25002 0 0 43271
25002 0 1 42606
25002 1 0 43803
25002 1 1 38291
25003 0 0 44650
25003 0 1 48436
25003 1 0 45538
25003 1 1 43226
25004 0 0 33298
25004 0 1 32471
25004 1 0 33332
25004 1 1 27582
25005 0 0 18391
25005 0 1 17802
25005 1 0 18671
25005 1 1 15832
25006 0 0 22376
25006 0 1 19661
25006 1 0 23619
25006 1 1 18378
25007 0 0 32318
25007 0 1 26215
25007 1 0 33693
25007 1 1 23662
25008 0 0 9730
25008 0 1 10027
25008 1 0 9977
25008 1 1 9398
25009 0 0 19871
25009 0 1 17111
25009 1 0 20670
25009 1 1 16244
25010 0 0 30312
25010 0 1 31230
25010 1 0 31167
25010 1 1 28822
25011 0 0 16112
25011 0 1 15725
25011 1 0 16870
25011 1 1 14997
25012 0 0 31138
25012 0 1 29734
25012 1 0 32075
25012 1 1 26788
25013 0 0 24960
25013 0 1 22568
25013 1 0 25688
25013 1 1 20207
25014 0 0 14025
25014 0 1 13453
25014 1 0 14182
25014 1 1 11936
25015 0 0 31220
25015 0 1 27875
25015 1 0 32343
25015 1 1 25050
25016 0 0 42852
25016 0 1 41272
25016 1 0 44038
25016 1 1 36665
25017 0 0 131261
25017 0 1 131872
25017 1 0 131043
25017 1 1 108493
25018 0 0 28236
25018 0 1 27228
25018 1 0 28942
25018 1 1 24155
25019 0 0 14820
25019 0 1 12670
25019 1 0 15004
25019 1 1 11486
25020 0 0 38835
25020 0 1 32549
25020 1 0 40203
25020 1 1 30436
25021 0 0 35336
25021 0 1 31803
25021 1 0 36286
25021 1 1 29320
25022 0 0 268682
25022 0 1 278070
25022 1 0 262679
25022 1 1 225184
25023 0 0 23751
25023 0 1 17644
25023 1 0 24071
25023 1 1 16959
26001 0 0 90252
26001 0 1 65387
26001 1 0 91502
26001 1 1 60501
26002 0 0 45044
26002 0 1 36670
26002 1 0 46707
26002 1 1 33608
26003 0 0 83055
26003 0 1 78501
26003 1 0 83744
26003 1 1 69303
26004 0 0 59866
